"filename", "language", "Markdown", "JSON", "JavaScript", "JSON with Comments", "Properties", "XML", "pip requirements", "Batch", "Python", "PowerShell", "comment", "blank", "total"
"c:\Users\Josh\Documents\assignments\Cashflow365\.env", "Properties", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 5, 22
"c:\Users\Josh\Documents\assignments\Cashflow365\.expo\README.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16
"c:\Users\Josh\Documents\assignments\Cashflow365\.expo\settings.json", "JSON with Comments", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Josh\Documents\assignments\Cashflow365\.idea\Cashflow365.iml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Josh\Documents\assignments\Cashflow365\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Josh\Documents\assignments\Cashflow365\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Josh\Documents\assignments\Cashflow365\.idea\other.xml", "XML", 0, 0, 0, 0, 0, 758, 0, 0, 0, 0, 0, 0, 758
"c:\Users\Josh\Documents\assignments\Cashflow365\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Josh\Documents\assignments\Cashflow365\README.md", "Markdown", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\app\api\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\app\api\middleware\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\app\api\routes\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\app\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\app\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\app\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\app\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\app\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\_distutils_hack\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 46, 50, 223
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\_distutils_hack\override.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\Josh\Documents\assignments\Cashflow365\backend\cashflow_env\Lib\site-packages\pip\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 5, 14
